student,item
ckohneke0,"Whale, killer"
sburtenshaw1,"Kangaroo, black-faced"
snutbrown2,"Bee-eater, nubian"
adyhouse3,"Lizard, collared"
gpyser4,Red meerkat
schaters5,"Bird, pied butcher"
fsturman6,White-mantled colobus
rbensusan7,"Penguin, galapagos"
gpulley8,Desert kangaroo rat
jivamy9,"Starling, superb"
crubicaa,"Lion, steller sea"
lstainlandb,American black bear
dclellandc,Bird (unidentified)
hsecretd,"Hornbill, red-billed"
wneseye,European badger
qibarraf,"Bear, black"
vrysomg,"Badger, european"
pmacgaheyh,Miner's cat
jdionisii,"Bleu, blue-breasted cordon"
rmcquilkinj,Impala
cgriswaitek,Savanna baboon
agherardil,"Snake, western patch-nosed"
rlocksm,"Peacock, indian"
bsweatlandn,"Gull, silver"
tgaufordo,Ovenbird
fadamep,"Squirrel, eurasian red"
mbourgetq,"Owl, burrowing"
bhavillr,"Salmon, sockeye"
vwaldies,Striated heron
rscotneyt,"Tinamou, elegant crested"
jthowesu,"Deer, red"
bpoizerv,"Cat, european wild"
sboundw,Puku
ceathornex,"Tern, arctic"
acarffy,Gray duiker
dsarneyz,"Porcupine, prehensile-tailed"
blarraway10,"Shrew, mandras tree"
pdoubrava11,Magistrate black colobus
dsmellie12,"Otter, small-clawed"
ebrydie13,"Gorilla, western lowland"
wdixey14,Red hartebeest
bblodg15,"Wolf, mexican"
slaxen16,"Loris, slender"
jbanger17,Ring-necked pheasant
ckyte18,Mexican boa
ccowpe19,Red deer
jguiducci1a,"Whale, southern right"
mnunson1b,Sugar glider
cdeplacido1c,"Vulture, lappet-faced"
jlutwyche1d,Pacific gull
rklossmann1e,Mallard
dlearned1f,Zorilla
dconnor1g,"Hawk, galapagos"
mbisiker1h,"Vulture, lappet-faced"
ccomelli1i,Black curlew
wnovotni1j,"Sparrow, rufous-collared"
trobken1k,Gila monster
clinay1l,White stork
lmannie1m,Guerza
jpavlik1n,"Waxbill, black-cheeked"
jmanders1o,African clawless otter
slibero1p,"Armadillo, seven-banded"
mofogerty1q,Emerald-spotted wood dove
rgencke1r,Silver-backed fox
hanthoin1s,Hyrax
iarnaut1t,"Rhinoceros, black"
pgruszka1u,Rufous tree pie
lsalazar1v,"Hartebeest, coke's"
sslinn1w,"Cat, tiger"
epays1x,"Eagle, long-crested hawk"
gwestlake1y,Steller's sea lion
cbarts1z,Campo flicker
osommerled20,"Gecko, ring-tailed"
wphythian21,"Stork, white-necked"
zmembry22,"Duck, mountain"
ekenningley23,"Rhinoceros, black"
atomadoni24,"Beaver, american"
ageikie25,"Dunnart, fat-tailed"
eselborne26,Blesbok
rduns27,"Squirrel, eastern fox"
nmaxwell28,"Monkey, rhesus"
sbuey29,"Baboon, chacma"
freece2a,"Dolphin, bottle-nose"
hgellately2b,Mexican boa
aradeliffe2c,"Eagle, long-crested hawk"
sthom2d,White-necked stork
aryley2e,"Cat, toddy"
fimlaw2f,Bohor reedbuck
rwellan2g,Tiger snake
nsherr2h,Sambar
rmonnelly2i,Giraffe
sflecknoe2j,Eastern cottontail rabbit
cdodgshon2k,Woylie
torgan2l,Black-footed ferret
thandling2m,Denham's bustard
athomasset2n,Dromedary camel
chubber2o,Springbok
mheams2p,Snow goose
dboriston2q,"Phalarope, northern"
mpeacham2r,Ostrich
kwalklett2s,"Insect, stick"
askayman2t,Sockeye salmon
sdurram2u,Red-tailed cockatoo
hde2v,"Macaque, pig-tailed"
foleszczak2w,Barasingha deer
ltippell2x,"Sloth, pale-throated three-toed"
mbompass2y,"Crane, wattled"
ewillson2z,Gila monster
jjiles30,Black-crowned crane
bsinkinson31,Western lowland gorilla
marthan32,Hippopotamus
bbiddiss33,White-fronted capuchin
eidwal34,"Hawk-eagle, crowned"
asmiley35,Black-faced kangaroo
rfosdick36,South American puma
bdewett37,"Starling, red-shouldered glossy"
ehearst38,Sambar
bgeorgiev39,Eleven-banded armadillo (unidentified)
acrook3a,"Porcupine, tree"
hruter3b,"White-eye, cape"
amebius3c,"Otter, oriental short-clawed"
akeher3d,"Tortoise, burmese black mountain"
mmaffezzoli3e,Capybara
kghidini3f,"Porcupine, north american"
cdalziel3g,Red phalarope
sgiabuzzi3h,Tree porcupine
amerredy3i,"Heron, boat-billed"
cspitaro3j,"Barbet, crested"
gbranca3k,"Dragon, netted rock"
bwinks3l,Asian openbill
jbarnham3m,Frilled dragon
ratack3n,"Cat, jungle"
pjury3o,Lizard (unidentified)
mfaill3p,"Kookaburra, laughing"
