name
Pine siskin
Raccoon dog
White-fronted bee-eater
Black bear
"Lechwe, kafue flats"
Blue shark
Cattle egret
Adouri (unidentified)
White-fronted bee-eater
Platypus
"Buffalo, american"
African black crake
Indian leopard
Black rhinoceros
Scaly-breasted lorikeet
Zorilla
Black-capped chickadee
Malagasy ground boa
White-tailed deer
"Echidna, short-beaked"
"Antechinus, brown"
Red-capped cardinal
Fringe-eared oryx
"Langur, common"
"Monkey, vervet"
"Gull, swallow-tail"
"Lion, steller sea"
African elephant
"Admiral, indian red"
"Hornbill, southern ground"
Leadbeateri's ground hornbill
"Porcupine, indian"
"Bandicoot, short-nosed"
Sambar
Mountain lion
Eagle owl (unidentified)
Squirrel glider
"Lizard, desert spiny"
Australian spiny anteater
Musk ox
"Glider, squirrel"
King cormorant
Blue shark
Malleefowl
European spoonbill
"Jackal, indian"
"Goose, andean"
"Gazelle, thomson's"
Zorilla
"Civet, common palm"
"Pelican, great white"
"Penguin, magellanic"
Mexican wolf
"Porcupine, north american"
Red deer
"Phalarope, red"
Egyptian goose
Common zorro
Eastern indigo snake
"Fox, arctic"
"Crane, sarus"
"Tortoise, burmese brown mountain"
Black-tailed deer
Lizard (unidentified)
Purple moorhen
Striped hyena
"Oryx, beisa"
Malagasy ground boa
"Gull, lava"
"Duiker, common"
"Baboon, gelada"
African jacana
"Langur, common"
Chimpanzee
"Pintail, bahama"
Australian spiny anteater
"Buffalo, wild water"
"Gull, herring"
"Corella, long-billed"
Red kangaroo
"Bear, polar"
Magellanic penguin
Superb starling
"Eagle, bald"
American buffalo
Roseat flamingo
"Skua, long-tailed"
Pocket gopher (unidentified)
"Trotter, lily"
"Trotter, lily"
"Fox, bat-eared"
Red-cheeked cordon bleu
African red-eyed bulbul
Cereopsis goose
Python (unidentified)
Kongoni
Pied kingfisher
Brush-tailed bettong
Bateleur eagle
Paradoxure
"Lizard, goanna"
Asian water buffalo
Mallard
"Sifaka, verreaux's"
European badger
Pine siskin
"Seal, northern elephant"
"Macaw, blue and yellow"
"Monkey, black spider"
Cape Barren goose
African red-eyed bulbul
"Barbet, crested"
"Kangaroo, red"
"Cliffchat, mocking"
Ring dove
Springbuck
Numbat
"Turtle, snake-necked"
"Whale, baleen"
"Dolphin, common"
"Baboon, chacma"
Common wombat
Black bear
"Badger, honey"
North American porcupine
Arboral spiny rat
Giant armadillo
Bent-toed gecko
Eagle owl (unidentified)
Common boubou shrike
"Dove, emerald-spotted wood"
"Glider, feathertail"
Seven-banded armadillo
"Grouse, sage"
Antelope ground squirrel
"Owl, white-browed"
"Owl, white-browed"
Greater sage grouse
Sociable weaver
"Snake, eastern indigo"
"Lion, california sea"
Malabar squirrel
"Marshbird, brown and yellow"
European badger
Ornate rock dragon
Anaconda (unidentified)
Kirk's dik dik
North American river otter
Galapagos tortoise
African porcupine
Stick insect
Jungle kangaroo
Carmine bee-eater
Australian magpie
Small Indian mongoose
"Deer, barasingha"
Tarantula
"Parakeet, rose-ringed"
Slender loris
"Sifaka, verreaux's"
Asian lion
Bateleur eagle
Helmeted guinea fowl
"Mynah, common"
"Sloth, two-toed"
"Turtle, eastern box"
Red deer
Pine squirrel
Alpaca
"Boa, malagasy ground"
"Finch, common melba"
Cape cobra
"Rhea, gray"
Laughing kookaburra
"Cat, jungle"
"Flamingo, chilean"
"Tortoise, indian star"
African jacana
"Toucan, white-throated"
Cape cobra
"Roller, lilac-breasted"
Red-winged hawk (unidentified)
"Stork, yellow-billed"
"Whale, killer"
Giant heron
"Parrot, hawk-headed"
Uinta ground squirrel
Red-necked phalarope
"Goldeneye, barrows"
Black-fronted bulbul
"Crane, wattled"
Common shelduck
Kori bustard
Black-crowned night heron
Serval
Common nighthawk
"Vulture, egyptian"
Dark-winged trumpeter
"Genet, common"
"Duck, blue"
"Whale, long-finned pilot"
"Dog, african wild"
"Heron, grey"
"Spoonbill, white"
Grant's gazelle
Dusky rattlesnake
Small Indian mongoose
Blue-faced booby
Black-fronted bulbul
"Baboon, gelada"
"Boa, malagasy ground"
"Snake, western patch-nosed"
Malabar squirrel
"Wallaby, whip-tailed"
"Plover, three-banded"
"Dragon, asian water"
Malachite kingfisher
African pied wagtail
"Squirrel, uinta ground"
"Flicker, field"
Pied kingfisher
"Bleu, blue-breasted cordon"
Rhesus macaque
"Goose, cape barren"
Crab-eating raccoon
Flying fox (unidentified)
"Kangaroo, jungle"
Common boubou shrike
"Tern, white-winged"
"Pintail, bahama"
Currasow (unidentified)
African wild cat
"Lion, mountain"
Black-tailed deer
Pale-throated three-toed sloth
"Cat, kaffir"
Weeper capuchin
Striped hyena
"Francolin, coqui"
"Monkey, rhesus"
Steller's sea lion
Yellow-necked spurfowl
Python (unidentified)
Sage grouse
"Shelduck, european"
Kalahari scrub robin
"Vulture, griffon"
"Stork, openbill"
Savannah deer
"Vulture, griffon"
"Eagle, crowned"
Barasingha deer
Large cormorant
"Shrike, common boubou"
North American beaver
Yellow-rumped siskin
Greater flamingo
Helmeted guinea fowl
"Crow, american"
"Eagle, golden"
"Cat, toddy"
Sage grouse
"Monkey, bleeding heart"
"Roller, lilac-breasted"
"Lizard, desert spiny"
"Legaan, Monitor (unidentified)"
Malay squirrel (unidentified)
Civet cat
